Partlist

Exported from Tommy.sch at 11/21/2013 11:01:43 AM

EAGLE Version 6.3.0 Copyright (c) 1988-2012 CadSoft

Assembly variant: 

Part            Value                Device                          Package                Library              Sheet

ANALOG_0                             PH_1X03HEADER_PTH               HEADER_01X03_PTH       PP_Connectors        1
ANALOG_1                             PH_1X03HEADER_PTH               HEADER_01X03_PTH       PP_Connectors        1
ANALOG_2                             PH_1X03HEADER_PTH               HEADER_01X03_PTH       PP_Connectors        1
ANALOG_3                             PH_1X03HEADER_PTH               HEADER_01X03_PTH       PP_Connectors        1
R120            180                  RESISTOR0402                    0402                   PP_Passives          1
R121            180                  RESISTOR0402                    0402                   PP_Passives          1
R122            180                  RESISTOR0402                    0402                   PP_Passives          1
R123            100                  RESISTOR0402                    0402                   PP_Passives          1
R124            100                  RESISTOR0402                    0402                   PP_Passives          1
R125            100                  RESISTOR0402                    0402                   PP_Passives          1
R126            100                  RESISTOR0402                    0402                   PP_Passives          1
R127            180                  RESISTOR0402                    0402                   PP_Passives          1
R128            180                  RESISTOR0402                    0402                   PP_Passives          1
R129            180                  RESISTOR0402                    0402                   PP_Passives          1
R130            180                  RESISTOR0402                    0402                   PP_Passives          1
R131            100                  RESISTOR0402                    0402                   PP_Passives          1
R132            100                  RESISTOR0402                    0402                   PP_Passives          1
R133            100                  RESISTOR0402                    0402                   PP_Passives          1
R134            100                  RESISTOR0402                    0402                   PP_Passives          1
R135            180                  RESISTOR0402                    0402                   PP_Passives          1
R136            180                  RESISTOR0402                    0402                   PP_Passives          1
R137            180                  RESISTOR0402                    0402                   PP_Passives          1
R138            180                  RESISTOR0402                    0402                   PP_Passives          1
R139            100                  RESISTOR0402                    0402                   PP_Passives          1
R140            100                  RESISTOR0402                    0402                   PP_Passives          1
R141            100                  RESISTOR0402                    0402                   PP_Passives          1
R142            100                  RESISTOR0402                    0402                   PP_Passives          1
R143            180                  RESISTOR0402                    0402                   PP_Passives          1
R144            180                  RESISTOR0402                    0402                   PP_Passives          1
R145            180                  RESISTOR0402                    0402                   PP_Passives          1
R146            180                  RESISTOR0402                    0402                   PP_Passives          1
R147            100                  RESISTOR0402                    0402                   PP_Passives          1
R148            100                  RESISTOR0402                    0402                   PP_Passives          1
R149            100                  RESISTOR0402                    0402                   PP_Passives          1
R150            100                  RESISTOR0402                    0402                   PP_Passives          1
R151            180                  RESISTOR0402                    0402                   PP_Passives          1
R152            180                  RESISTOR0402                    0402                   PP_Passives          1
